Open,Close,High,Low,Volume,Date
3.89035,3.87965,3.90595,3.87805,,07/28/21
3.89045,3.89035,3.90785,3.87825,,07/27/21
3.88535,3.88915,3.90235,3.88275,,07/26/21
3.88595,3.88845,3.88875,3.88435,,07/25/21
3.88725,3.88595,3.88725,3.88515,,07/24/21
3.87655,3.88535,3.89175,3.87325,,07/23/21
3.88315,3.87705,3.88645,3.85395,,07/22/21
3.89855,3.88245,3.91425,3.87605,,07/21/21
3.89575,3.89805,3.91225,3.89105,,07/20/21
3.88275,3.89535,3.90185,3.87985,,07/19/21
3.88225,3.88085,3.88295,3.87635,,07/18/21
3.8832,3.88225,3.8832,3.88225,,07/17/21
3.87745,3.88275,3.89175,3.87325,,07/16/21
3.85895,3.87775,3.88375,3.85625,,07/15/21
3.88895,3.85855,3.89725,3.85335,,07/14/21
3.83725,3.88845,3.89525,3.83385,,07/13/21
3.82835,3.83695,3.84965,3.82275,,07/12/21
3.82845,3.82705,3.829,3.8265,,07/11/21
3.82885,3.82845,3.82885,3.82795,,07/10/21
3.83635,3.82835,3.84505,3.82565,,07/09/21
